Family Name,Algorithm Name,Year,Time Complexity Class,average_monthly_reads,years_since_problem_introduced,years_since_last_improvement,Number of Authors
Strongly Connected Components,Kosaraju's algorithm,1978,5,4467.639175257732,53,52,1
Strongly Connected Components,Tarjan's strongly connected components algorithm,1972,5,5623.628865979382,53,52,1
Strongly Connected Components,Path-based strong components algorithm; Dijkstra,1976,5,532.7113402061856,53,52,1
Strongly Connected Components,Fleischer forward-backward (FB) algorithm,2003,5.01,7893.257731958763,53,52,4
Strongly Connected Components,Pearce,2016,5,0.0,53,52,1
Strongly Connected Components,Path-based depth-first search Gabow,2000,5,532.7113402061856,53,52,1
Strongly Connected Components,Paul Purdom,1970,6,4722.948453608247,53,52,1
Strongly Connected Components,Lowe’s Algorithm,2014,5,0.0,53,52,1
Strongly Connected Components,Renault’s Algorithm,2009,5,0.0,53,52,4
Strongly Connected Components,Couvreur,1999,5,0.0,53,52,1
Strongly Connected Components,Munro’s algorithm,1971,5,532.7113402061856,53,52,1
Strongly Connected Components,OBF Algorithm,2011,6,0.0,53,52,3
Strongly Connected Components,CH Algorithm,2004,6,1197.3505154639174,53,52,1
Strongly Connected Components,Hong’s algorithm,2013,6,0.0,53,52,3
Minimum Spanning Tree (MST),Prim's algorithm + adjacency matrix searching,1957,5,19328.94845360825,97,66,1
Minimum Spanning Tree (MST),Prim's algorithm + Fibonacci heaps; Fredman & Tarjan,1987,5,19328.94845360825,97,66,2
Minimum Spanning Tree (MST),Kruskal's algorithm,1956,5.01,19895.81443298969,97,66,1
Minimum Spanning Tree (MST),Yao's algorithm,1975,5.001,546.7938144329897,97,66,1
Minimum Spanning Tree (MST),Cheriton-Tarjan Algorithm,1976,5.001,19328.94845360825,97,66,2
Minimum Spanning Tree (MST),Filter Kruskal algorithm,2009,5.01,19895.81443298969,97,66,3
Minimum Spanning Tree (MST),Chazelle's algorithm,2000,5,22169.01030927835,97,66,1
Minimum Spanning Tree (MST),Thorup (reverse-delete),2000,5.02,858.2061855670103,97,66,1
Closest Pair Problem,Fortune and Hopcroft,1979,4,4292.20618556701,48,43,2
Closest Pair Problem,F. Preparata and M. Shamos,1986,4,1196.6082474226805,48,43,2
Closest Pair Problem,Rabin' Algorithm,1976,5,7575.340206185567,48,43,1
Closest Pair Problem,Bentley,1980,4,1610.8969072164948,48,43,1
