Family Name,Algorithm Name,Year,Time Complexity Class,average_monthly_reads,years_since_problem_introduced,years_since_last_improvement,Number of Authors
Closest Pair Problem,Bentley; Shamos,1976,4,1610.8969072164948,48,43,2
Closest Pair Problem,Hinrichs; Nievergelt; Schorn,1988,4,0.0,48,43,3
Closest Pair Problem,Shamos; Hoey,1975,4,243.0606060606061,48,43,2
Closest Pair Problem,Dyer,1980,3,0.0,48,43,1
Shortest Path (Directed Graphs),Bellman–Ford algorithm (Ford 1956),1956,7,18582.01030927835,67,63,1
Shortest Path (Directed Graphs),Bellman–Ford algorithm (Shimbel 1955; Bellman 1958; Moore 1959),1959,6,18582.01030927835,67,63,1
Shortest Path (Directed Graphs),Bellman–Ford algorithm (Dantzig 1960),1960,5.01,18582.01030927835,67,63,1
Shortest Path (Directed Graphs),Dijkstra's algorithm with list (Whiting & Hillier 1960),1960,5,19338.721649484534,67,63,2
Shortest Path (Directed Graphs),Dijkstra's algorithm with binary heap (Johnson 1977),1977,5.01,19338.721649484534,67,63,1
Shortest Path (Directed Graphs),Dijkstra's algorithm with Fibonacci heap (Fredman & Tarjan 1984; Fredman & Tarjan 1987),1984,5,19338.721649484534,67,63,2
Shortest Path (Directed Graphs),Dijkstra's algorithm with Fibonacci heap (Johnson 1981; Karlsson & Poblete 1983),1981,5,19338.721649484534,67,63,2
Shortest Path (Directed Graphs),Gabow's algorithm,1983,5,19338.721649484534,67,63,1
Shortest Path (Directed Graphs),Gabow Ahuja Algorithm,1990,5,19338.721649484534,67,63,4
Shortest Path (Directed Graphs),Thorup's algorithm,2004,5,19338.721649484534,67,63,1
All-Pairs Shortest Paths (APSP),Shimbel Algorithm,1953,7,19338.721649484534,70,28,1
All-Pairs Shortest Paths (APSP),Floyd–Warshall algorithm,1962,6,17875.123711340206,70,28,1
All-Pairs Shortest Paths (APSP),Seidel's algorithm,1995,5.373,243.49295774647888,70,28,1
All-Pairs Shortest Paths (APSP),Williams,2014,6,19338.721649484534,70,28,1
All-Pairs Shortest Paths (APSP),Pettie & Ramachandran,2002,6,19338.721649484534,70,28,2
All-Pairs Shortest Paths (APSP),Thorup,1999,6,19338.721649484534,70,28,1
All-Pairs Shortest Paths (APSP),Chan (Geometrically Weighted),2009,5.844,0.0,70,28,1
All-Pairs Shortest Paths (APSP),Chan,2009,6,0.0,70,28,1
Integer Factoring,Pollard's p − 1 algorithm,1974,8,1216.3917525773195,821,48,1
Integer Factoring,Williams' p + 1 algorithm,1982,8,232.65671641791045,821,48,1
Integer Factoring,Lenstra elliptic curve factorization,1987,8,1515.4084507042253,821,48,1
Integer Factoring,Fermat's factorization method,1894,8,2410.773195876289,821,48,2
Integer Factoring,Dixon's algorithm,1981,8,528.0618556701031,821,48,1
Integer Factoring,Continued fraction factorization (CFRAC),1931,8,372.8144329896907,821,48,2
Integer Factoring,Rational sieve,1993,8,335.12371134020617,821,48,4
Integer Factoring,Shanks's square forms factorization (SQUFOF),2007,8,292.8382352941176,821,48,2
LU Decomposition,Randomized LU Decomposition,2016,4.5,0.0,145,48,4
LU Decomposition,"Press, Teukolsky, Flannery",2007,4.5,1418.1958762886595,145,48,4
Informed Search,Block A*,2011,8,945.40206185567,64,64,4
Informed Search,D*,1994,8,2702.3092783505153,64,64,1
Informed Search,Field D*,2006,8,945.40206185567,64,64,2
String Search,Tuned Boyer-Moore algorithm,1991,5,1401.5360824742268,83,48,2
Sequence Alignment,FOGSAA,2013,5,6119.030927835051,53,43,2
Line Clipping,O(lg N) algorithm,1994,3,1719.2371134020618,56,56,1
Line Clipping,Skala,1996,3,0.0,56,56,1
Multiplication,Schönhage–Strassen algorithm,1971,4.001,3278.9484536082473,83,4,2
Multiplication,Furer's algorithm,2007,7,9020.917525773197,83,4,1
Multiplication,De,2008,7,9020.917525773197,83,4,4
Multiplication,Harvey; Hoeven,2019,4,9020.917525773197,83,4,2
Multiplication,Harvey; Hoeven; Lecerf,2015,7,9020.917525773197,83,4,3
Multiplication,Covanov and Thomé,2015,7,0.0,83,4,2
Multiplication,Covanov and Thomé,2016,7,9020.917525773197,83,4,2
Multiplication,Harvey; Hoeven; Lecerf,2018,7,9020.917525773197,83,4,2
Mutual Exclusion,Lamport's bakery algorithm,1974,3,2355.556701030928,60,33,1
Mutual Exclusion,Szymanski's algorithm,1988,3,814.4123711340206,60,33,1
Mutual Exclusion,Taubenfeld's black-white bakery algorithm,2004,3,10102.030927835052,60,33,1
Mutual Exclusion,Maekawa's algorithm,1985,2.5,422.4845360824742,60,33,1
Mutual Exclusion,Raymond's algorithm,1997,2,209.8556701030928,60,33,1
Shown Surface Determination,Painter's algorithm/Newell's algorithm,1972,4,276.5773195876289,54,54,3
Shown Surface Determination,Warnock's algorithm,1969,3,489.45360824742266,54,54,1
Shown Surface Determination,Z-buffering,1974,3,4571.865979381443,54,54,1
Eigenvalues (Iterative Methods),Power Iteration,1929,3,5269.1752577319585,177,24,2
Delaunay Triangulation,Fortune,1987,4,2468.639175257732,89,27,1
Maximum Subarray Problem,Gries,1982,3,12457.59793814433,46,28,1
Maximum Subarray Problem,Bird,1989,3,12457.59793814433,46,28,1
Maximum Subarray Problem,"Ferreira, Camargo, Song",2014,2,0.0,46,28,3
Integer Relation,HJLS algorithm,1986,7,488.4845360824742,44,44,4
The Traveling-Salesman Problem,Applegate et al.,2006,7,47464.0206185567,69,21,4
The Traveling-Salesman Problem,Johnson; D. S.; McGeoch; L. A.,1997,8,47464.0206185567,69,21,2
The Traveling-Salesman Problem,Rosenkrantz; D. J.; Stearns; R. E.; Lewis; P. M.,1974,5,47464.0206185567,69,21,3
The Traveling-Salesman Problem,Lin–Kernighan,1981,5,881.7113402061856,69,21,2
De Novo Genome Assembly,Greedy SEQAID,1984,5,896.974358974359,39,13,3
Ray Tracing,Appel's algorithm 1968,1968,5,26261.680412371137,67,67,1
Ray Tracing,Whitted's algorithm 1979,1979,5,26261.680412371137,67,67,1
Ray Tracing,J.-C. Nebel 1998,1998,5,0.0,67,67,1
Feature Detection,Moravec's algorithm 1980,1980,6,4344.938144329897,43,8,1
Feature Detection,J. J. Koenderink and W. Richards 1988,1988,6,4344.938144329897,43,8,2
Feature Detection,Lindeberg (1998),1998,5,4344.938144329897,43,8,1
Feature Detection,K. Mikolajczyk; K. and C. Schmid LoG 2004,2004,5,4344.938144329897,43,8,2
Feature Detection,Lowe (2004),2004,5,4344.938144329897,43,8,1
Feature Detection,FAST E. Rosten and T. Drummond 2006,2006,6,4344.938144329897,43,8,2
Feature Detection,Trujillo and Olague 2008,2008,5,4344.938144329897,43,8,2
Feature Detection,Geert Willems; Tinne Tuytelaars and Luc van Gool (2008),2008,5,4344.938144329897,43,8,3
Texture Synthesis,Kwatra 2003,2003,6,860.3814432989691,25,22,5
Rasterization,Digital Differential Analyzer (DDA),1983,3,4101.577319587629,61,61,2
Rasterization,Bresenham Algorithm,1962,3,15774.40206185567,61,61,2
SLAM Algorithms,FastSlam,2003,2,15218.62886597938,25,20,4
SLAM Algorithms,srba,2002,5,0.0,25,20,3
Change-Making Problem,Probabilistic Convolution Tree,2014,4,4004.0,83,9,1
Sorting,Odd Even Sort Parallel  Implementation,1972,5,1484.8144329896909,83,55,1
Sorting,Spaghetti Sort Parallel Implementation,1984,3,2284.030927835051,83,55,1
Matrix Chain Multiplication,Heejo Lee; Jong Kim; Sungje Hong; and Sunggu Lee,1997,5,4052.020618556701,83,27,4
Matrix Chain Multiplication,Prakesh Ramanan,1996,2.03,0.0,83,27,1
Matrix Chain Multiplication,Czumaj,1993,2.02,4052.020618556701,83,27,1
Longest Common Subsequence,Hsu and Du (Scheme 2),1984,5.01,0.0,49,46,2
Longest Common Subsequence,Apostolico and Guerra (HS1 Algorithm),1987,5,0.0,49,46,2
Longest Common Subsequence,Kuo and Cross,1989,5,0.0,49,46,2
Longest Common Subsequence,Rick,1995,5,0.0,49,46,1
Longest Common Subsequence,Rick,1995,5,0.0,49,46,1
Longest Common Subsequence,Hirschberg,1977,5,1332.1958762886595,49,46,1
Longest Common Subsequence,Hsu and Du (Scheme 1),1984,5,0.0,49,46,2
Longest Common Subsequence,Apostolico and Guerra (Algorithm 2),1987,5,0.0,49,46,2
Longest Common Subsequence,Chin and Poon,1991,5,0.0,49,46,2
Longest Common Subsequence,Nakatsu et al.,1982,5,0.0,49,46,3
Longest Common Subsequence,Miller and Myers,1985,5,0.0,49,46,2
Longest Common Subsequence,Wu et al.,1990,5,0.0,49,46,2
Maximum Flow,Ahuja et al.,1987,6,0.0,72,26,2
Graph Coloring,Robson,1986,8,0.0,171,34,1
Graph Coloring,Schöning,1999,8,17731.164948453606,171,34,1
Graph Coloring,Hirsch,1998,8,0.0,171,34,1
Graph Coloring,Johnson,1988,8,7645.051546391753,171,34,3
Graph Coloring,Alon and Kahale,1997,8,0.0,171,34,2
Convex Hull,Incremental convex hull algorithm; Michael Kallay,1984,4,5597.020618556701,88,35,1
Minimum Spanning Tree (MST),Bader & Cong Parallel Implementation,2006,5.01,273.27450980392155,97,66,2
Integer Factoring,General number field sieve,1996,8,3842.19587628866,821,48,1
Integer Factoring,Shor's algorithm Quantum Implementation,1994,3,20733.81443298969,821,48,1
String Search,Two-way String-Matching Algorithm,1991,3,478.7234042553192,83,48,2
String Search,Quick-Skip Searching,2012,5,0.0,83,48,3
String Search,Fast Hybrid Algorithm,2017,3,0.0,83,48,4
String Search,Backward Non-Deterministic DAWG Matching (BNDM),1998,3,6916.064516129032,83,48,2
String Search,Commentz-Walter Algorithm,1979,5,405.35051546391753,83,48,1
String Search,Aho–Corasick (AC) Algorithm,1975,3,4371.092783505154,83,48,2
String Search,Boyer-Moore-Horspool (BMH),1980,5,1401.5360824742268,83,48,1
String Search,Raita Algorithm,1991,5,115.31460674157304,83,48,1
String Search,BOM (Backward Oracle Matching),1999,5,6916.064516129032,83,48,3
String Search,Apostolico–Giancarlo Algorithm,1986,3,197.7835051546392,83,48,2
Sequence Alignment,Gapped BLAST,1997,5,10251.061224489797,53,43,1
Sequence Alignment,Basic Local Alignment Search Tool (BLAST),1990,5,10251.061224489797,53,43,4
Maximum Cardinality Matching,Ford–Fulkerson algorithm,1956,6,8510.536082474227,67,12,2
Maximum Cardinality Matching,Hopcroft–Karp algorithm,1973,5.5,2304.5257731958764,67,12,2
Maximum Cardinality Matching,Mucha; Sankowski (planar),2006,4.1864298,554.2886597938144,67,12,2
Maximum Cardinality Matching,Madry's algorithm,2013,5.857,554.2886597938144,67,12,1
Maximum Cardinality Matching,Chandran and Hochbaum,2011,3,554.2886597938144,67,12,2
Maximum Cardinality Matching,Blum,1990,5.5,0.0,67,12,1
Maximum Cardinality Matching,Gabow; Tarjan,1991,5.5,634.2886597938144,67,12,2
Maximum Cardinality Matching,"Mucha, Sankowski (general)",2004,5.376,554.2886597938144,67,12,2
Maximum Cardinality Matching,Klein (section 5),1997,4.33,0.0,67,12,4
Key Exchange,Diffie–Hellman key exchange,1978,7,41709.948453608245,45,45,2
